Requirement_ID,Category,Equipment_ID,Vendor_ID,Requirement_Text,Client_Value,Vendor_Value,Compliance_Label,Rationale,Criticality,Impact,Probability,Risk_Score,Suggested_Action
REQ-UPS-001,UPS,EQ-UPS-101,VEND-DELTA,Efficiency at 50% partial load,>= 96.5 %,,Missing Information,Vendor document does not state measured efficiency.,High,High,Medium,18,"Request a higher-efficiency UPS model, or ask the vendor to disable the eco-mode firmware profile and re-submit an FAT report at standard operating mode."
REQ-CHILL-003,Chiller,EQ-CHILL-202,VEND-YORK,Redundancy level,N+1,N (upgrade available),Partial Compliance,Base offer ships as N; N+1 only available as a chargeable field upgrade.,High,High,Medium,18,"Negotiate inclusion of the N+1 upgrade module into the base scope, or raise a commercial variation order before contract award."
REQ-CHILL-001,Chiller,EQ-CHILL-202,VEND-YORK,Max compressor draw per fan unit,<= 45 kW,52.0 kW,Non-Compliant,Exceeds the 45.0 kW ceiling by 7.0 kW.,High,Medium,Medium,12,"Specify a lower-power compressor variant, or request a derated fan configuration and re-test."
REQ-GEN-003,Generator,EQ-GEN-303,VEND-CATERPILLAR,Emissions compliance,CPCB-IV+,,Missing Information,Vendor manual does not address emissions compliance.,High,Medium,Medium,12,Request a CPCB-IV+ emissions test certificate from the vendor prior to technical sign-off.
REQ-UPS-003,UPS,EQ-UPS-101,VEND-DELTA,"Topology (Tier III, concurrently maintainable)","Double Conversion, Tier III",,Missing Information,Vendor submittal does not confirm topology / Tier III compliance.,High,High,Low,9,"Request written confirmation of Tier III concurrently maintainable topology, or a third-party Tier certification letter, before technical approval."
REQ-GEN-001,Generator,EQ-GEN-303,VEND-CATERPILLAR,Max ATS transfer time,<= 10 seconds,8.5 s,Compliant,Within the 10.0s ceiling.,High,High,Low,9,
REQ-BATT-001,Battery,EQ-BATT-404,VEND-SCHNEIDER,Autonomy at full rated load,>= 15 minutes,16.5 min,Compliant,Exceeds the 15.0-minute mandate.,High,High,Low,9,
REQ-BATT-002,Battery,EQ-BATT-404,VEND-SCHNEIDER,Ambient operating temperature,22 C +/- 2 C,0.0 C to 28.0 C,Non-Compliant,"Vendor's rated range (0.0 C to 28.0 C) is wider than and conflicts with the client's tighter 20.0-24.0 C design point; site HVAC control is designed around the narrower client band, not the vendor's commercial rating.",Medium,Medium,Medium,8,"Re-verify battery room HVAC design against the vendor's actual rated range, or request a battery model with a tolerance band matching 22C +/- 2C."
REQ-CRAH-002,CRAH,EQ-CRAH-505,VEND-VERTIV,Supply air temperature setpoint,18 C,,Missing Information,Vendor manual is silent on supply air temperature capability.,Medium,Medium,Medium,8,Request written confirmation of achievable supply air temperature setpoint from the vendor before technical approval.
REQ-UPS-002,UPS,EQ-UPS-101,VEND-DELTA,Input voltage / frequency,415V 3-Phase 50Hz,415V 3-Phase 50Hz,Compliant,Matches client input power specification.,Medium,Medium,Low,4,
REQ-CHILL-002,Chiller,EQ-CHILL-202,VEND-YORK,Chilled water supply temperature,7.2 C +/- 0.5 C,7.2 C,Compliant,Within tolerance of the 7.2 C design target.,Medium,Medium,Low,4,
REQ-GEN-002,Generator,EQ-GEN-303,VEND-CATERPILLAR,Governed speed / frequency,1500 RPM / 50Hz,1500 RPM,Compliant,Matches the 1500 RPM / 50Hz client mandate.,Medium,Medium,Low,4,
REQ-CRAH-001,CRAH,EQ-CRAH-505,VEND-VERTIV,Relative humidity range,40% - 55%,35.0% - 60.0%,Compliant,Vendor range is a superset of the 40.0%-55.0% client spec.,Medium,Low,Low,2,
